No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Musicplay;Battery_Standby;Battery_Talktime;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_Protection;Display_Resolution;Display_Size;Display_Type;EULABEL_Battery;EULABEL_Energy;EULABEL_Freefall;EULABEL_Repairability;Features_;Features_Browser;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Misc_SAREU;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_EDGE;Network_GPRS;Network_Speed;Network_Technology;OurTests_Audioquality;OurTests_Battery;OurTests_Batteryold;OurTests_Camera;OurTests_Display;OurTests_Loudspeaker;OurTests_Performance;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_;Selfiecamera_Dual;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_35mmjack;Sound_Loudspeaker
1;Google;Google Pixel 10;https://www.gsmarena.com/google_pixel_10_5g-13979.php;N/A;N/A;"30W wired, PD3.0, PPS, 55% in 30 minutes
15W wireless (magnetic), Qi2
Reverse wired
Bypass charging";N/A;N/A;N/A;Li-Ion 4970 mAh;IP68 dust tight and water resistant (immersible up to 1.5m for 30 min);Glass front (Gorilla Glass Victus 2), glass back (Gorilla Glass Victus 2), aluminum frame;152.8 x 72 x 8.6 mm (6.02 x 2.83 x 0.34 in);"Nano-SIM + eSIMeSIM + eSIM (8 or more, max 2 at a time; USA)";204 g (7.20 oz);6.0, A2DP, LE, aptX HD;Yes;GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS, NavIC;No;USB Type-C 3.2;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band;Corning Gorilla Glass Victus 2, Mohs level 4;1080 x 2424 pixels, 20:9 ratio (~422 ppi density);6.3 inches, 94.7 cm2 (~86.1% screen-to-body ratio);OLED, 120Hz, HDR10+, 2000 nits (HBM), 3000 nits (peak);49:23h endurance, 1000 cycles;Class B;Class A (270 falls);Class B;"Satellite SOS service
Circle to Search";N/A;Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer;2025, August 20;Available. Released 2025, August 28;N/A;Single-zone Laser AF, LED flash, Pixel Shift, Ultra-HDR, panorama, Best Take;N/A;"48 MP, f/1.7, 25mm (wide), 1/2.0"", 0.8µm, dual pixel PDAF, OIS
10.8 MP, f/3.1, 112mm (telephoto), 1/3.2"", dual pixel PDAF, OIS, 5x optical zoom
13 MP, f/2.2, 120˚ (ultrawide), 1/3.1"", PDAF";"4K@24/30/60fps, 1080p@24/30/60/120/240fps; gyro-EIS, OIS, 10-bit HDR";"UFS 3.1 - 128GB
UFS 4.0 - 256GB";No;128GB 12GB RAM, 256GB 12GB RAM;Indigo, Frost, Lemongrass, Obsidian;GK2MP, GLBW0, GL066;$ 799.00 / € 745.00 / £ 799.00 / ₹ 71,980;1.18 W/kg (head)     0.99 W/kg (body);0.99 W/kg (head)     1.39 W/kg (body);1, 2, 3, 5, 7, 8, 12, 14, 20, 25, 26, 28, 29, 30, 38, 40, 41, 48, 66, 70, 71, 77, 78, 258, 260, 261 SA/NSA/Sub6/mmWave - GLBW0;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 29, 30, 30, 32, 38, 39, 40 , 41, 42, 48, 66, 71, 75 - GK2MP;N/A;N/A;N/A;HSPA, LTE (CA), 5G;GSM / HSPA / LTE;N/A;Active use score 9:58h;N/A;N/A;2030 nits max brightness (measured);-25.7 LUFS (Very good);"AnTuTu: 1173841 (v10)
GeekBench: 5857 (v6)
3DMark: 3231 (Wild Life Extreme)";Octa-core (1x3.78 GHz Cortex-X4 & 5x3.05 GHz Cortex-A725 & 2x2.25 GHz Cortex-A520);Google Tensor G5 (3 nm);PowerVR DXT-48-1536;Android 16, up to 7 major Android upgrades;N/A;N/A;HDR, panorama;"10.5 MP, f/2.2, 95˚, 20mm (ultrawide), 1/3.1"", 1.22µm, PDAF";4K@30/60fps, 1080p@30/60fps;No;Yes, with stereo speakers
2;Google;Samsung Google Nexus S I9020A;https://www.gsmarena.com/samsung_google_nexus_s_i9020a-3920.php;N/A;N/A;N/A;N/A;Up to 713 h (2G) / Up to 428 h (3G);Up to 14 h (2G) / Up to 7 h (3G);Removable Li-Ion 1500 mAh battery;N/A;N/A;123.9 x 63 x 10.9 mm (4.88 x 2.48 x 0.43 in);Mini-SIM;129 g (4.55 oz);2.1, A2DP, EDR;Yes;GPS, A-GPS;N/A;microUSB 2.0;Wi-Fi 802.11 b/g/n, DLNA, hotspot;Oleophobic coating;480 x 800 pixels, 5:3 ratio (~233 ppi density);4.0 inches, 45.5 cm2 (~58.3% screen-to-body ratio);Super AMOLED;N/A;N/A;N/A;N/A;"MP4/H.264 player
MP3/WAV/eAAC+ player
Organizer
Photo/video editor
Voice memo/dial/commands
Predictive text input
Near Field Communications";HTML, Adobe Flash;Accelerometer, gyro, proximity, compass, barometer;2011, March. Released 2011, April;Discontinued;N/A;LED flash;5 MP, AF;N/A;w480p@30fps;N/A;No;16GB 512MB RAM;White, Black;N/A;About 270 EUR;0.57 W/kg (head)     1.33 W/kg (body);0.37 W/kg (head);HSDPA 900 / 1700 / 2100 - i9020T for T-Mobile;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1900 / 2100 - i9020A for AT&T;N/A;N/A;N/A;N/A;HSPA 7.2/5.76 Mbps;GSM / HSPA;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1.0 GHz Cortex-A8;Hummingbird;PowerVR SGX540;Android 2.3 (Gingerbread);N/A;N/A;N/A;VGA;;Yes;Yes
3;Google;Google Pixel 3;https://www.gsmarena.com/google_pixel_3-9256.php;N/A;N/A;"18W wired, PD2.0
Wireless";N/A;N/A;N/A;Li-Po 2915 mAh, non-removable;IP68 dust tight and water resistant (immersible up to 1.5m for 30 min);Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame;145.6 x 68.2 x 7.9 mm (5.73 x 2.69 x 0.31 in);Nano-SIM + eSIM;148 g (5.22 oz);5.0, A2DP, LE, aptX HD;Yes;GPS, GLONASS, BDS, GALILEO;No;USB Type-C 3.1;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA;Corning Gorilla Glass 5;1080 x 2160 pixels, 18:9 ratio (~443 ppi density);5.5 inches, 76.7 cm2 (~77.2% screen-to-body ratio);P-OLED, HDR;N/A;N/A;N/A;N/A;N/A;N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer;2018, October 09. Released 2018, October 18;Discontinued;N/A;Dual-LED flash, Pixel Shift, Auto-HDR, panorama;"12.2 MP, f/1.8, 28mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS";N/A;4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS);UFS 2.1;No;64GB 4GB RAM, 128GB 4GB RAM;Clearly White, Just Black, Not Pink;G013A;About 450 EUR;N/A;N/A;CDMA2000 1xEV-DO;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 32, 38, 39, 40, 41, 42, 46, 66, 71;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE (5CA) Cat16 1024/75 Mbps;GSM / CDMA / HSPA / EVDO / LTE;Noise -71.7dB / Crosstalk -70.1dB;N/A;Endurance rating 69h;Photo / Video;Contrast ratio: Infinite (nominal), 4.350 (sunlight);Voice 77dB / Noise 71dB / Ring 81dB;"AnTuTu: 285044 (v7)
GeekBench: 8337 (v4.4)
GFXBench: 33fps (ES 3.1 onscreen)";Octa-core (4x2.5 GHz Kryo 385 Gold & 4x1.6 GHz Kryo 385 Silver);Qualcomm SDM845 Snapdragon 845 (10 nm);Adreno 630;Android 9.0 (Pie), upgradable to Android 12;N/A;"8 MP, f/1.8, 28mm (wide), PDAF
8 MP, f/2.2, 19mm (ultrawide), no AF";HDR;N/A;1080p@30fps;No;Yes, with stereo speakers
4;Google;Google Pixel 4a 5G;https://www.gsmarena.com/google_pixel_4a_5g-10385.php;N/A;N/A;18W wired, PD2.0;N/A;N/A;N/A;Li-Po 3885 mAh;N/A;Glass front (Gorilla Glass 3), plastic back, plastic frame;153.9 x 74 x 8.2 mm (Sub-6) or 8.5 mm (Sub-6 and mmWave);Nano-SIM + eSIM;"168 g (5G Sub-6); 171 g ( 5G Sub-6 and mmWave) (5.93 oz)";5.0, A2DP, LE, aptX HD;Yes;GPS, GLONASS, GALILEO, QZSS, BDS;No;USB Type-C 3.1;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;Corning Gorilla Glass 3;1080 x 2340 pixels, 19.5:9 ratio (~413 ppi density);6.2 inches, 95.7 cm2 (~84.1% screen-to-body ratio);OLED, HDR;N/A;N/A;N/A;N/A;N/A;N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer;2020, September 30;Available. Released 2020, November 05;"12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS
16 MP, f/2.2, 107˚ (ultrawide), 1.0µm";LED flash, Pixel Shift, Auto-HDR, panorama;N/A;N/A;"4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS";UFS 2.1;No;128GB 6GB RAM;Just Black, Clearly White;GD1YQ, G025I, G025E, G025H, G6QU3;About 140 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 38, 39, 40, 41, 42, 46, 48, 66, 71;1, 2, 3, 5, 7, 8, 12, 28, 41, 66, 71, 77, 78 Sub6, mmWave (market dependant);N/A;N/A;HSPA, LTE (CA), 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver);Qualcomm SM7250 Snapdragon 765G 5G (7 nm);Adreno 620;Android 11, upgradable to Android 14;N/A;N/A;HDR;"8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm";1080p@30fps;Yes;Yes, with stereo speakers
5;Google;Google Pixel 4 XL;https://www.gsmarena.com/google_pixel_4_xl-9895.php;N/A;N/A;"18W wired, PD2.0
Wireless";N/A;N/A;N/A;Li-Po 3700 mAh, non-removable;IP68 dust tight and water resistant (immersible up to 1.5m for 30 min);Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame;160.4 x 75.1 x 8.2 mm (6.31 x 2.96 x 0.32 in);Nano-SIM + eSIM;193 g (6.81 oz);5.0, A2DP, LE, aptX HD;Yes;GPS, GLONASS, BDS, GALILEO;No;USB Type-C 3.1;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA;Corning Gorilla Glass 5;1440 x 3040 pixels, 19:9 ratio (~537 ppi density);6.3 inches, 98.0 cm2 (~81.3% screen-to-body ratio);P-OLED, 90Hz, HDR;N/A;N/A;N/A;N/A;N/A;N/A;Face ID, accelerometer, gyro, proximity, compass, barometer;2019, October 15;Available. Released 2019, October 22;"12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS
16 MP, f/2.4, 50mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom";Dual-LED flash, Pixel Shift, Auto-HDR, panorama;N/A;N/A;4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS);UFS 2.1;No;64GB 6GB RAM, 128GB 6GB RAM;Clearly White, Just Black, Oh So Orange;G020P, G020, GA01181-US, GA01182-US, GA01180-US;About 180 EUR;N/A;N/A;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 46, 48, 66, 71 - USA;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66, 71 - Global;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE (5CA) Cat18 1200/150 Mbps;GSM / CDMA / HSPA / EVDO / LTE;Noise -93.9 / Crosstalk -94.1;N/A;Endurance rating 73h;Photo / Video;N/A;Voice 80dB / Noise 78dB / Ring 88dB;"AnTuTu: 323305 (v7), 403267 (v8)
GeekBench: 10171 (v4.4), 2267 (v5.1)
GFXBench: 21fps (ES 3.1 onscreen)";Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485);Qualcomm SM8150 Snapdragon 855 (7 nm);Adreno 640;Android 10, upgradable to Android 13;N/A;N/A;HDR;"8 MP, f/2.0, 22mm (wide), 1.22µm, no AF
TOF 3D, (depth/biometrics sensor)";1080p@30fps;No;Yes, with stereo speakers
6;Google;Samsung Google Nexus S;https://www.gsmarena.com/samsung_google_nexus_s-3620.php;N/A;N/A;N/A;N/A;Up to 713 h (2G) / Up to 428 h (3G);Up to 14 h (2G) / Up to 6 h 40 min (3G);Removable Li-Ion 1500 mAh battery;N/A;N/A;123.9 x 63 x 10.9 mm (4.88 x 2.48 x 0.43 in);Mini-SIM;129 g (4.55 oz);2.1, A2DP;Yes;GPS, A-GPS;No;microUSB 2.0;Wi-Fi 802.11 b/g/n, DLNA, hotspot;Oleophobic coating;480 x 800 pixels, 5:3 ratio (~233 ppi density);4.0 inches, 45.5 cm2 (~58.3% screen-to-body ratio);Super AMOLED;N/A;N/A;N/A;N/A;"MP4/H.264 player
MP3/WAV/eAAC+ player
Organizer
Photo/video editor
Voice memo/dial/commands
Predictive text input
Near Field Communications";HTML, Adobe Flash;Accelerometer, gyro, proximity, compass;2010, December. Released 2010, December;Discontinued;N/A;LED flash;5 MP, AF;N/A;w480p@30fps;N/A;No;16GB 512MB RAM;Black, White;N/A;About 170 EUR;0.58 W/kg (head)     0.90 W/kg (body);0.47 W/kg (head);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 1700 / 2100;N/A;N/A;N/A;N/A;HSPA 7.2/5.76 Mbps;GSM / HSPA;Noise -90.2dB / Crosstalk -90.8dB;N/A;N/A;Photo;N/A;Voice 68dB / Noise 66dB / Ring 69dB;N/A;1.0 GHz Cortex-A8;Hummingbird;PowerVR SGX540;Android 2.3 (Gingerbread), 4.1.2 (Jelly Bean), not upgradable to 4.2 (Jelly Bean);N/A;N/A;N/A;VGA;;Yes;Yes
7;Google;Google Pixel 6 Pro;https://www.gsmarena.com/google_pixel_6_pro-10918.php;N/A;N/A;"23W wired, PD3.0, 50% in 30 min
23W wireless
Reverse wireless";N/A;N/A;N/A;Li-Ion 5003 mAh;IP68 dust tight and water resistant (immersible up to 1.5m for 30 min);Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), aluminum frame;163.9 x 75.9 x 8.9 mm (6.45 x 2.99 x 0.35 in);Nano-SIM + eSIM;210 g (7.41 oz);5.2, A2DP, LE, aptX HD;Yes;GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5);No;USB Type-C 3.1;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct;Corning Gorilla Glass Victus;1440 x 3120 pixels, 19.5:9 ratio (~512 ppi density);6.7 inches, 110.6 cm2 (~88.9% screen-to-body ratio);LTPO AMOLED, 120Hz, HDR10+;N/A;N/A;N/A;N/A;"Ultra Wideband (UWB) support
Circle to Search";N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer;2021, October 19;Available. Released 2021, October 28;N/A;Laser AF, Dual-LED flash, Pixel Shift, Auto-HDR, panorama;N/A;"50 MP, f/1.9, 25mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS
48 MP, f/3.5, 104mm (periscope telephoto), 1/2.0"", 0.8µm, PDAF, OIS, 4x optical zoom
12 MP, f/2.2, 17mm, 114˚ (ultrawide), 1.25µm";"4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS, OIS";UFS 3.1;No;128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Cloudy White, Sorta Sunny, Stormy Black;GLUOG, G8VOU, GF5KQ;$ 185.15 / € 242.99 / £ 245.00 / ₹ 29,999;N/A;N/A;1, 2, 3, 5, 7, 8, 12, 14, 20, 25, 28, 30, 38, 40, 41, 48, 66, 71, 77, 78 SA/NSA/Sub6 - GLUOG;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 38, 39, 40, 41, 42, 46, 48, 66, 71 - GLUOG, G8VOU;1, 2, 3, 5, 7, 8, 12, 14, 20, 25, 28, 30, 38, 40, 41, 48, 66, 71, 77, 78, 257, 258, 260, 261 SA/NSA/Sub6/mmWave - G8VOU;N/A;N/A;HSPA, LTE (CA), 5G;GSM / CDMA / HSPA / EVDO / LTE / 5G;N/A;N/A;Endurance rating 84h;N/A;846 nits max brightness (measured);N/A;"AnTuTu:  585485 (v8),  719815 (v9)
GeekBench: 2831 (v5.1)
GFXBench: 39 fps (ES 3.1 onscreen)";Octa-core (2x2.80 GHz Cortex-X1 & 2x2.25 GHz Cortex-A76 & 4x1.80 GHz Cortex-A55);Google Tensor (5 nm);Mali-G78 MP20;Android 12, upgradable to Android 15, up to 5 major Android upgrades;N/A;N/A;HDR, panorama;11.1 MP, f/2.2, 20mm (ultrawide), 1.22µm;4K@30fps, 1080p@30/60fps;No;Yes, with stereo speakers
8;Google;Google Pixel 8a;https://www.gsmarena.com/google_pixel_8a-12937.php;N/A;N/A;"18W wired, PD3.0
7.5W wireless
Bypass charging";N/A;N/A;N/A;Li-Po 4492 mAh;IP67 dust/water resistant (up to 1m for 30 min);Glass front (Gorilla Glass 3), aluminum frame, plastic back;152.1 x 72.7 x 8.9 mm (5.99 x 2.86 x 0.35 in);Nano-SIM + eSIM;188 g (6.63 oz);5.3, A2DP, LE;Yes;GPS, GLONASS, GALILEO, BDS, QZSS, NavIC;No;USB Type-C 3.2;Wi-Fi 802.11 a/b/g/n/ac/6e, dual/tri-band (market/region dependent);Corning Gorilla Glass 3, Mohs level 5;1080 x 2400 pixels, 20:9 ratio (~430 ppi density);6.1 inches, 90.3 cm2 (~81.6% screen-to-body ratio);OLED, HDR, 120Hz, 2000 nits (peak);40:06h endurance, 1000 cycles;Class B;Class A (270 falls);Class B;Circle to Search;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer;2024, May 07;Available. Released 2024, May 14;"64 MP (16 MP eff.), f/1.9, 26mm (wide), 1/1.73"", 0.8µm, dual pixel PDAF, OIS
13 MP, f/2.2, 120˚ (ultrawide), 1.12µm";Dual-LED flash, Pixel Shift, Ultra HDR, panorama, Best Take;N/A;N/A;4K@30/60fps, 1080p@30/60/120/240fps, OIS;UFS 3.1;No;128GB 8GB RAM, 256GB 8GB RAM;Obsidian, Porcelain, Bay, Aloe;GKV4X, G6GPR, G8HHN, G576D;$ 190.00 / € 306.89 / £ 349.00 / ₹ 32,999;N/A;N/A;1, 2, 3, 5, 7, 8, 20, 28, 48, 66, 71, 77, 78, 260, 261 SA/NSA/Sub6/mmWave - G8HHN (USA);GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 32, 38, 40, 41, 42, 66 - G6GPR (International);1, 2, 3, 5, 7, 8, 12, 20, 26, 28, 38, 40, 41, 66, 75, 76, 77, 78 SA/NSA/Sub6 - G6GPR (International);N/A;N/A;HSPA, LTE (CA), 5G;GSM / HSPA / LTE / 5G;N/A;Active use score 11:25h;Endurance rating 83h;N/A;1508 nits max brightness (measured);-26.5 LUFS (Good);"AnTuTu: 1193520 (v10)
GeekBench: 4384 (v6)
3DMark: 2427 (Wild Life Extreme)";Nona-core (1x3.0 GHz Cortex-X3 & 4x2.45 GHz Cortex-A715 & 4x2.15 GHz Cortex-A510);Google Tensor G3 (4 nm);Immortalis-G715s MC10;Android 14, upgradable to Android 16, up to 7 major Android upgrades;N/A;N/A;HDR, panorama;13 MP, f/2.2, 20mm (ultrawide), 1.12µm;4K@30fps, 1080p@30/60fps;No;Yes, with stereo speakers
