No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Camera_;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;EULABEL_Battery;EULABEL_Energy;EULABEL_Freefall;EULABEL_Repairability;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_EDGE;Network_GPRS;Network_Speed;Network_Technology;OurTests_Audioquality;OurTests_Battery;OurTests_Batteryold;OurTests_Camera;OurTests_Display;OurTests_Loudspeaker;OurTests_Performance;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Dual;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker
34;Huawei;Huawei P40;https://www.gsmarena.com/huawei_p40-10153.php;N/A;N/A;22.5W wired;Li-Po 3800 mAh;"IP53 dust protected and water resistant
(vertical water sprays)";Glass front, glass back, aluminum frame;148.9 x 71.1 x 8.5 mm (5.86 x 2.80 x 0.33 in);Nano-SIM + eSIMNano-SIM + Nano-SIM;175 g (6.17 oz);N/A;5.1, A2DP, LE;N/A;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC;No;USB Type-C 3.1, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;N/A;1080 x 2340 pixels, 19.5:9 ratio (~422 ppi density);6.1 inches, 91.3 cm2 (~86.3% screen-to-body ratio);OLED;N/A;N/A;N/A;N/A;N/A;Infrared Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2020, March 26;Available. Released 2020, April 07;N/A;Leica optics, color spectrum sensor, LED flash, panorama, HDR;N/A;N/A;"50 MP, f/1.9, 23mm (wide), 1/1.28"", 1.22µm, multi-directional PDAF, OIS
8 MP, f/2.4, 80mm (telephoto), PDAF, OIS, 3x optical zoom
16 MP, f/2.2, 17mm (ultrawide), AF";"4K@30/60fps, 1080p@30/60fps, 720p@960fps; gyro-EIS";UFS 3.0;Nano Memory (uses shared SIM slot);128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Silver Frost, Blush Gold, Deep Sea Blue, Ice White, Black;ANA-AN00, ANA-TN00, ANA-NX9, ANA-LX4;About 520 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41;1, 3, 28, 38, 41, 77, 78, 79 SA/NSA;N/A;N/A;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;Endurance rating 89h;Photo / Video;589 nits max brightness (measured);-28.9 LUFS (Average);"AnTuTu: 486583 (v8)
GeekBench: 12619 (v4.4), 3148 (v5.1)
GFXBench: 37fps (ES 3.1 onscreen)";Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55);Kirin 990 5G (7 nm+);Mali-G76 MP16;Android 10, EMUI 12, no Google Play Services;N/A;HDR;"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm
IR TOF 3D, (biometrics sensor only)";4K@30/60fps, 1080p@30/60fps;N/A;No;Yes
35;Huawei;Huawei Watch 5;https://www.gsmarena.com/huawei_watch_5-13868.php;N/A;N/A;10W wireless;Li-Ion 867 mAh;"5 ATM (immersible up to 50m for 10 min)
IP68/IP69 dust tight and water resistant (high pressure water jets)
EN13319 certified (40m swimproof/diving)
ECG certified";Sapphire Glass, ceramic backAerospace-grade titanium or 316L stainless steel frame (46mm)904L stainless steel or 316L stainless steel frame (42mm);46 x 46.7 x 11.3 mm (1.81 x 1.84 x 0.44 in);eSIM - cellular model only;48/51/58/63 g (1.69 oz);No;5.2, A2DP, LE;N/A;Yes;GPS (L1+L5), BDS (B1I+B1C), GALILEO (E1+E5a), QZSS (L1+L5), GLONASS;No;No;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;Sapphire Glass;466 x 466 pixels (~310 ppi density);1.5 inches;LTPO AMOLED, 3000 nits (peak);N/A;N/A;N/A;N/A;"Heart Rate Variability (HRV)
Arterial Stiffness Detection";Accelerometer, gyro, heart rate, barometer, compass, SpO2, thermometer (body temperature);2025, May 15;Available. Released 2025, May 21;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Unspecified;Purple, Silver, Black, Beige, White;RTS-AL00, SOC-AL00;$ 138.00 / € 371.77;N/A;GSM 850 / 900 / 1800 / 1900 - cellular model only;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - cellular model only;1, 2, 3, 4, 5, 7, 8, 9, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66 - cellular model only;N/A;N/A;N/A;HSPA, LTE - cellular model only;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;HarmonyOS 4.0;N/A;N/A;N/A;N/A;N/A;No;Yes
36;Huawei;Huawei P30;https://www.gsmarena.com/huawei_p30-9530.php;N/A;N/A;22.5W wired;Li-Po 3650 mAh, non-removable;"IP53 dust protected and water resistant
(vertical water sprays)";Glass front (Aluminosilicate glass), glass back (Aluminosilicate glass), aluminum frame;149.1 x 71.4 x 7.6 mm (5.87 x 2.81 x 0.30 in);Nano-SIMNano-SIM + Nano-SIM;165 g (5.82 oz);N/A;5.0, A2DP, aptX HD, LE;N/A;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1), GALILEO (E1+E5a), QZSS (L1+L5);No;USB Type-C 3.1;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;1080 x 2340 pixels, 19.5:9 ratio (~422 ppi density);6.1 inches, 91.3 cm2 (~85.8% screen-to-body ratio);OLED, HDR10;N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2019, March 26. Released 2019, March 26;Discontinued;N/A;Laser AF, color spectrum sensor, Leica optics, dual-LED dual-tone flash, panorama, HDR;N/A;N/A;"40 MP, f/1.8, 27mm (wide), 1/1.7"", PDAF
8 MP, f/2.4, 80mm (telephoto), 1/4.0"", PDAF, OIS, 3x optical zoom
16 MP, f/2.2, 17mm (ultrawide), PDAF";4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps;UFS 2.1;Nano Memory (uses shared SIM slot);64GB 8GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Aurora, Amber Sunrise, Breathing Crystal, Black, Pearl White;ELE-L29, ELE-L09, ELE-AL00, ELE-TL00, ELE-L04;About 280 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE Cat21 1400/200 Mbps;GSM / HSPA / LTE;Noise -96.2dB / Crosstalk -97.5dB;N/A;Endurance rating 83h;Photo / Video;635 nits max brightness (measured);Voice 83dB / Noise 75dB / Ring 83dB;"AnTuTu: 314595 (v7)
GeekBench: 10114 (v4.4)
GFXBench: 28fps (ES 3.1 onscreen)";Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55);Kirin 980 (7 nm);Mali-G76 MP10;Android 9.0 (Pie), upgradable to Android 10, EMUI 10;N/A;HDR;"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm";1080p@30fps;32-bit/384kHz audio;Yes;Yes
37;Huawei;Huawei Mate 70 Pro;https://www.gsmarena.com/huawei_mate_70_pro-13518.php;N/A;N/A;"100W wired
80W wireless
20W reverse wireless
18W reverse wired";5500 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 6m for 30 min)";Glass front, aluminum alloy frame;164.6 x 79.5 x 8.2 mm (6.48 x 3.13 x 0.32 in);Nano-SIM + Nano-SIM;221 g (7.80 oz);N/A;5.2, A2DP, LE, L2HC;Yes;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC;No;USB Type-C 3.1, OTG, DisplayPort 1.2;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct;N/A;Huawei Kunlun Glass 2;1316 x 2832 pixels, 19.5:9 ratio (~453 ppi density);6.9 inches, 117.4 cm2 (~89.7% screen-to-body ratio);LTPO OLED, 1B colors, 120Hz, 2500 nits (peak);N/A;N/A;N/A;N/A;BDS Satellite Calling and Messaging - China only;Face ID, fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass;2024, November 26;Available. Released 2024, November 26;N/A;Laser AF, color spectrum sensor, LED flash, panorama, HDR;N/A;N/A;"50 MP, f/1.4-f/4.0, 24mm (wide), PDAF, OIS
48 MP, f/2.1, 93mm (periscope telephoto), PDAF, OIS, 3.5x optical zoom
40 MP, f/2.2, 13mm, 120˚ (ultrawide), PDAF";4K, 1080p, HDR, gyro-EIS, OIS;N/A;No;256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM;Black, Purple, White, Green;PLR-AL00, PLR-AL50;About 860 EUR;CDMA2000 1x;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;LTE;SA/NSA;N/A;N/A;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x2.5 GHz & 3x2.15 GHz & 4x1.6 GHz) - PLR-AL00Octa-core (1x2.4 GHz & 3x2.0 GHz & 4x1.6 GHz) - PLR-AL50;Kirin 9020;Maleoon 920;HarmonyOS 4.3;N/A;HDR, panorama;"13 MP, f/2.4, 18mm (ultrawide)
TOF 3D, (depth/biometrics sensor)";4K, 1080p, HDR, gyro-EIS;High-definition audio;No;Yes, with stereo speakers
38;Huawei;Huawei Y7 (2019);https://www.gsmarena.com/huawei_y7_(2019)-9625.php;N/A;N/A;10W wired;Li-Ion 4000 mAh, non-removable;N/A;Glass front, plastic back, plastic frame;158.9 x 76.9 x 8.1 mm (6.26 x 3.03 x 0.32 in);Nano-SIM + Nano-SIM;168 g (5.93 oz);N/A;4.2, A2DP, LE;N/A;No;GPS, GLONASS, BDS;FM radio;microUSB 2.0;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;N/A;N/A;720 x 1520 pixels, 19:9 ratio (~269 ppi density);6.26 inches, 97.8 cm2 (~80.0% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;Fingerprint (rear-mounted), accelerometer, proximity, compass;2019, March 07. Released 2019, March 07;Discontinued;"13 MP, f/1.8, PDAF
2 MP, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC (uses shared SIM slot);32GB 3GB RAM, 64GB 4GB RAM;Aurora Blue, Midnight Black, Coral Red;DUB-LX1, DUB-LX3;About 180 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 3, 7, 8, 20;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core 1.8 GHz Cortex-A53;Qualcomm SDM450 Snapdragon 450 (14 nm);Adreno 506;Android 8.1 (Oreo), EMUI 8.2;N/A;HDR;8 MP;1080p@30fps;N/A;Yes;Yes
39;Huawei;Huawei Watch GT 5 Pro;https://www.gsmarena.com/huawei_watch_gt_5_pro-13349.php;N/A;N/A;Wireless;Li-Ion 524 mAh;"40m swimproof/diving (EN13319)
IP69K dust tight and water resistant (high pressure water jets; immersible up to 50m/5ATM for 10 min)
ECG certified";Glass front, titanium alloy frame, ceramic back (Ceramic White model only);46.3 x 46.3 x 10.9 mm (1.82 x 1.82 x 0.43 in);No;44 g or 53 g (1.55 oz);No;5.2, A2DP, LE;N/A;Yes;GPS (L1+L5), BDS (B1I+B1c), GALILEO (E1+E5a), QZSS (L1+L5), GLONASS;No;No;No;N/A;N/A;466 x 466 pixels (~326 ppi density);1.43 inches;AMOLED, 1200 nits (peak);N/A;N/A;N/A;N/A;N/A;Accelerometer, gyro, heart rate, barometer, compass, SpO2, thermometer (body temperature);2024, September 19;Available. Released 2024, September 19;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Unspecified;Titanium, Black, Ceramic White, White;VLI-B29;$ 253.29 / € 309.99;N/A;N/A;N/A;N/A;N/A;No;No;N/A;No cellular connectivity;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;HarmonyOS 5.0;N/A;N/A;N/A;N/A;N/A;No;Yes
40;Huawei;Huawei Mate 10 Pro;https://www.gsmarena.com/huawei_mate_10_pro-8854.php;N/A;N/A;22.5W wired, 58% in 30 min;Li-Po 4000 mAh, non-removable;IP67 dust/water resistant (up to 1m for 30 min);Glass front (Gorilla Glass), glass back, aluminum frame;154.2 x 74.5 x 7.9 mm (6.07 x 2.93 x 0.31 in);Nano-SIMNano-SIM + Nano-SIM;178 g (6.28 oz);N/A;4.2, A2DP, aptX HD, LE;Yes;Yes;GPS, GLONASS, BDS;No;USB Type-C 3.1, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, DLNA, Wi-Fi Direct;N/A;Corning Gorilla Glass (unspecified version);1080 x 2160 pixels, 18:9 ratio (~402 ppi density);6.0 inches, 92.9 cm2 (~80.9% screen-to-body ratio);OLED, HDR10;N/A;N/A;N/A;N/A;N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, barometer, compass;2017, October. Released 2017, November;Discontinued;"12 MP, f/1.6, 27mm (wide), 1/2.9"", 1.25µm, PDAF, OIS
20 MP B/W, f/1.6, 27mm (wide), 1/2.7""";Laser AF, Leica optics, dual-LED dual-tone flash, panorama, HDR;N/A;N/A;N/A;4K@30fps, 1080p@30/60fps;UFS 2.1;No;64GB 4GB RAM, 128GB 6GB RAM;Midnight Blue, Titanium Gray, Mocha Brown, Pink Gold;BLA-L29, BLA-L09, BLA-AL00, BLA-A09, BLA-TL00;About 450 EUR;N/A;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE (3CA) Cat18 1200/150 Mbps;GSM / HSPA / LTE;Noise -93.5dB / Crosstalk -93.4dB;N/A;Endurance rating 96h;Photo / Video;Contrast ratio: Infinity (nominal), 4.096 (sunlight);Voice 70dB / Noise 73dB / Ring 84dB;"GeekBench: 6783 (v4.4)
GFXBench: 21fps (ES 3.1 onscreen)";Octa-core (4x2.4 GHz Cortex-A73 & 4x1.8 GHz Cortex-A53);Kirin 970 (10 nm);Mali-G72 MP12;Android 8.0 (Oreo), upgradable to Android 10, EMUI 10.2;N/A;N/A;"8 MP, f/2.0, 26mm (wide), 1/3.2"", 1.4µm, AF";1080p@30fps;32-bit/384kHz audio;No;Yes, with stereo speakers
41;Huawei;Huawei Watch Ultimate 2;https://www.gsmarena.com/huawei_watch_ultimate_2-14166.php;N/A;N/A;10W wireless;Li-Ion 867 mAh;"150m swimproof/diving (EN13319, ISO 22810:2010)
IP68 dust tight and water resistant (immersible up to 150m/20ATM)
ECG certified";Sapphire crystal front, cerramic bezzel, zirconium front case, ceramic back;48.5 x 48.5 x 12.9 mm - Black47.8 x 47.8 x 12.9 mm - Blue;eSIM;80.5 g (2.86 oz);No;5.2, A2DP, LE;N/A;Yes;GPS (L1+L5), BDS (B1I+B1c), GALILEO (E1+E5a), QZSS (L1+L5), GLONASS;No;No;Wi-Fi 802.11 a/b/g/n/ac/6;N/A;N/A;466 x 466 pixels (~310 ppi density);1.5 inches;LTPO2 AMOLED, 3500 nits (peak);N/A;N/A;N/A;N/A;"Sonar-based underwater communication (Nearlink, up to 30m distance)
BDS Satellite Messaging - China only
Heart Rate Variability (HRV)
Arterial Stiffness Detection";Accelerometer, gyro, heart rate, barometer, compass, SpO2, thermometer (body temperature), X-TAP;2025, September 19;Coming soon. Exp. release 2025, September 29;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;Black, Blue;MCH-AL00;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;LTE;N/A;N/A;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;HarmonyOS 5.1;N/A;N/A;N/A;N/A;N/A;No;Yes
42;Huawei;Huawei Y9 Prime (2019);https://www.gsmarena.com/huawei_y9_prime_(2019)-9742.php;N/A;N/A;N/A;Li-Po 4000 mAh, non-removable;N/A;Glass front, plastic back;163.5 x 77.3 x 8.9 mm (6.44 x 3.04 x 0.35 in);Nano-SIMNano-SIM + Nano-SIM;196.8 g (6.95 oz);N/A;5.0, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS, QZSS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density);6.59 inches, 106.6 cm2 (~84.3% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;2019, August 01. Released 2019, August 05;Discontinued;N/A;LED flash, HDR, panorama;N/A;N/A;"16 MP, f/1.8, (wide), PDAF
8 MP, f/2.4, 13mm (ultrawide)
2 MP, f/2.4, (depth)";1080p@30fps;eMMC;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM;Emerald Green, Midnight Black, Sapphire Blue;STK-L21, STK-L22, STK-LX3;About 220 EUR;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41;N/A;N/A;N/A;HSPA 42.2/5.76 Mbps, LTE (2CA) Cat12 600/50 Mbps;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53);Kirin 710F (12 nm);Mali-G51 MP4;Android 9.0 (Pie), upgradable to Android 10, Magic UI 2.1;N/A;N/A;Motorized pop-up 16 MP, f/2.0;1080p@30fps;N/A;Yes;Yes
43;Huawei;Huawei Mate 30 Pro;https://www.gsmarena.com/huawei_mate_30_pro-9885.php;N/A;N/A;"40W wired
27W wireless
Reverse wireless";Li-Po 4500 mAh, non-removable;IP68 dust tight and water resistant (immersible up to 2m for 30 min);Glass front (Gorilla Glass 6), glass back (Gorilla Glass 6), aluminum frame;158.1 x 73.1 x 8.8 mm (6.22 x 2.88 x 0.35 in);Nano-SIMNano-SIM + Nano-SIM;198 g (6.98 oz);N/A;5.1, A2DP, aptX HD, LE;Yes;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1), GALILEO (E1+E5a), QZSS (L1+L5);No;USB Type-C 3.1, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, DLNA, Wi-Fi Direct;N/A;Corning Gorilla Glass 6;1176 x 2400 pixels, 18.5:9 ratio (~409 ppi density);6.53 inches, 108.7 cm2 (~94.1% screen-to-body ratio);OLED, HDR10;N/A;N/A;N/A;N/A;N/A;Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, barometer, compass;2019, September 19. Released 2019, September 26;Discontinued;N/A;Leica optics, dual-LED dual-tone flash, panorama, HDR;N/A;N/A;"40 MP, f/1.6, 27mm (wide), 1/1.7"", PDAF, OIS
8 MP, f/2.4, 80mm (telephoto), 1/4.0"", PDAF, OIS, 3x optical zoom
40 MP, f/1.8, 18mm (ultrawide), 1/1.54"", PDAF
TOF 3D, (depth)";4K@30/60fps, 1080p@30/60/120fps, 1080p@960fps, 720p@7680fps, gyro-EIS;UFS 3.0;Nano Memory (uses shared SIM slot);128GB 8GB RAM, 256GB 8GB RAM;Black, Space Silver, Cosmic Purple, Emerald Green;LIO-L09, LIO-L29, LIO-AL00, LIO-TL00;About 1290 EUR;1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 34, 38, 39, 40, 41 - China;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41 - Global;N/A;N/A;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;Endurance rating 103h;Photo / Video;686 nits max brightness (measured);-29.3 LUFS (Average);"AnTuTu: 378950 (v7), 484529 (v8)
GeekBench: 11936 (v4.4), 3038 (v5.1)
GFXBench: 34fps (ES 3.1 onscreen)";Octa-core (2x2.86 GHz Cortex-A76 & 2x2.09 GHz Cortex-A76 & 4x1.86 GHz Cortex-A55);Kirin 990 (7 nm);Mali-G76 MP16;Android 10, EMUI 11, no Google Play Services;N/A;HDR, panorama;"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm
TOF 3D, (depth/biometrics sensor)";1080p@30fps;32-bit/384kHz audio;No;Yes
44;Huawei;Huawei Pura 80 Ultra;https://www.gsmarena.com/huawei_pura_80_ultra_5g-13944.php;N/A;N/A;"100W wired
80W wireless
20W reverse wireless
18W reverse wired";Li-Po 5170 mAh - InternationalLi-Po 5700 mAh - China;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 2m for 30 min)";Glass front, aluminum frame, glass back;163 x 76.1 x 8.3 mm (6.42 x 3.00 x 0.33 in);Nano-SIM + Nano-SIM + eSIM (max 2 at a time)Nano-SIM + eSIM;233.5 g (8.25 oz);N/A;5.2, A2DP, LE, L2HC;Yes;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC;No;USB Type-C 3.1, OTG, DisplayPort 1.2;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct;N/A;Kunlun Glass 2 (Basalt-tempered) / 2nd-Gen Crystal Armor Kunlun Glass, Mohs level 4;1276 x 2848 pixels, 20:9 ratio (~459 ppi density);6.8 inches, 111.3 cm2 (~89.7% screen-to-body ratio);LTPO OLED, 1B colors, HDR Vivid, 120Hz, 1440Hz PWM, 3000 nits (peak);41:00h endurance, 1000 cycles;Class C;Class D (45 falls);Class C;BDS Satellite Calling and Messaging - China only;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer;2025, June 11;Available. Released 2025, June 11;N/A;Laser AF, color spectrum sensor, LED flash, panorama, HDR;"50 MP, f/1.6-4.0, 23mm (wide), 1.0""-type, dual pixel PDAF, OIS
50 MP, f/2.4, 83mm (periscope telephoto), 1/1.28"", PDAF, sensor-shift OIS, 3.7x optical zoom
12.5 MP, f/3.6, 212mm (periscope telephoto), PDAF, sensor-shift OIS, 9.4x optical zoom
40 MP, f/2.2, 13mm (ultrawide), AF
* Both telephoto cameras utilize the same camera sensor w/o continuous optical zoom";N/A;N/A;4K, 1080p, 1080p@960fps (interpolated), HDR Vivid, gyro-EIS, OIS;N/A;No;512GB 16GB RAM, 1TB 16GB RAM;Prestige Gold, Golden Black;LMR-AL10, LMU-LX9;About 1220 EUR;CDMA2000 1x;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 34, 38, 39, 40, 41, 42, 66 - International;SA/NSA - China only;N/A;N/A;HSPA, LTE, 5G (China only);GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;N/A;Active use score 11:51h;N/A;N/A;1029 nits max brightness (measured);-24.1 LUFS (Very good);"AnTuTu: 1160268 (v10)
GeekBench: 4368 (v6)
3DMark: 1850 (Wild Life Extreme)";Octa-core (1x2.5GHz & 3x2.15 GHz & 4x1.6GHz);Kirin 9020 (7 nm);Maleoon 920;EMUI (International), HarmonyOS 5.1 (China);N/A;HDR, panorama;13 MP, f/2.0, (ultrawide), AF;4K, 1080p, 1080p@240fps, HDR Vivid, gyro-EIS;N/A;No;Yes, with stereo speakers
