No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;EULABEL_Battery;EULABEL_Energy;EULABEL_Freefall;EULABEL_Repairability;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Misc_SAREU;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;OurTests_Audioquality;OurTests_Battery;OurTests_Batteryold;OurTests_Camera;OurTests_Display;OurTests_Loudspeaker;OurTests_Performance;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Dual;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker
1;Xiaomi;Xiaomi 14 Ultra;https://www.gsmarena.com/xiaomi_14_ultra-12827.php;N/A;N/A;"90W wired, PD3.0, QC4, 100% in 33 min
80W wireless, 100% in 46 min
10W reverse wireless";5000 mAh (Global)5300 mAh (China only);IP68 dust tight and water resistant (immersible up to 1.5m for 30 min);Glass front (Shield Glass), glass back or silicone polymer back (eco leather), titanium frame (grade 5) or aluminum alloy frame;161.4 x 75.3 x 9.2 mm (6.35 x 2.96 x 0.36 in);Nano-SIM + Nano-SIM;219.8 / 224.4 / 229.5 g (7.76 oz);5.4, A2DP, LE, aptX HD, aptX Adaptive, LHDC;Yes;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5);No;USB Type-C 3.2 Gen 2, DisplayPort, OTG;Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct;N/A;Xiaomi Shield Glass;1440 x 3200 pixels, 20:9 ratio (~522 ppi density);6.73 inches, 108.9 cm2 (~89.6% screen-to-body ratio);LTPO AMOLED, 68B colors, 120Hz, 1920Hz PWM, Dolby Vision, HDR10+, 1000 nits (typ), 3000 nits (peak);N/A;N/A;N/A;N/A;Two-way satellite communication;Fingerprint (under display, optical), accelerometer, proximity, gyro, compass, barometer;2024, February 22;Available. Released 2024, February 22;N/A;Laser AF, color spectrum sensor, Leica lenses, Dual-LED flash, HDR, panorama, 67mm filter ring holder (optional);"50 MP, f/1.6-f/4.0, 23mm (wide), 1.0""-type, 1.6µm, dual pixel PDAF, OIS
50 MP, f/1.8, 75mm (telephoto), 1/2.51"", 0.7µm, dual pixel PDAF (10cm - ∞), OIS, 3.2x optical zoom
50 MP, f/2.5, 120mm (periscope telephoto), 1/2.51"", 0.7µm, dual pixel PDAF (30cm - ∞), OIS, 5x optical zoom
50 MP, f/1.8, 12mm, 122˚ (ultrawide), 1/2.51"", 0.7µm, dual pixel PDAF
TOF 3D, (depth)";N/A;N/A;8K@24/30fps, 4K@24/30/60/120fps, 1080p@30/60/120/240/480/960/1920fps, gyro-EIS, Dolby Vision HDR 10-bit rec. (4K@60fps, 1080p);UFS 4.0;No;256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM;Black, Blue, White, Titanium Gray;24031PN0DC, 24030PN60G;€ 859.99 / £ 1,119.70;0.83 W/kg (head)     0.82 W/kg (body);1.00 W/kg (head)     1.00 W/kg (body);1, 3, 5, 7, 8, 28, 38, 40, 41, 48, 66, 77, 78, 79 SA/NSA - China;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41, 42, 48, 66 - International;1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41, 48, 66, 77, 78, 79 SA/NSA - International;HSPA, LTE, 5G;GSM / CDMA / HSPA / EVDO / LTE / 5G;N/A;Active use score 11:25h;N/A;N/A;1281 nits max brightness (measured);-25.6 LUFS (Very good);"AnTuTu: 2014262 (v10)
GeekBench: 7060 (v6)
3DMark: 4977 (Wild Life Extreme)";Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520);Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm);Adreno 750;Android 14, up to 4 major Android upgrades, HyperOS;N/A;HDR, panorama;"32 MP, f/2.0, 22mm (wide), 1/3.14"", 0.7µm";4K@30/60fps, 1080p@30/60fps, gyro-EIS;24-bit/192kHz Hi-Res & Hi-Res Wireless audio;No;Yes, with stereo speakers
3;Xiaomi;Xiaomi Redmi 15C 4G;https://www.gsmarena.com/xiaomi_redmi_15c_4g-14005.php;N/A;N/A;33W wired, PD;6000 mAh;IP64 dust tight and water resistant (water splashes);Glass front (Gorilla Glass 3), plastic frame, glass back or silicone polymer (eco leather) back;171.6 x 79.5 x 8 mm (6.76 x 3.13 x 0.31 in);Nano-SIM + Nano-SIM;205 g (7.23 oz);5.4, A2DP, LE;N/A;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Corning Gorilla Glass 3;720 x 1600 pixels, 20:9 ratio (~254 ppi density);6.9 inches, 114.9 cm2 (~84.3% screen-to-body ratio);IPS LCD, 120Hz;N/A;N/A;N/A;N/A;Virtual proximity sensing;Fingerprint (side-mounted), accelerometer, compass;2025, August 01;Available. Released 2025, August 01;"50 MP, f/1.8, 28mm (wide), 1/2.76"", 0.64µm, PDAF
QVGA, f/3.0";LED flash, HDR;N/A;N/A;N/A;1080p@30fps;N/A;microSDXC (dedicated slot);128GB 4GB RAM, 128GB 6GB RAM, 256GB 4GB RAM, 256GB 8GB RAM;Moonlight Blue, Mint Green, Midnight Gray, Twilight Orange;25078RA3EA, 25078RA3EL;$ 179.99 / € 113.67 / £ 126.69;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;LTE;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mediatek Helio G81 Ultra (12 nm);Mali-G52 MC2;Android 15, HyperOS 2;N/A;HDR;"8 MP, f/2.0, (wide), 1/4.0"", 1.12µm";1080p@30fps;N/A;Yes;Yes
4;Xiaomi;Xiaomi 14 Civi;https://www.gsmarena.com/xiaomi_14_civi-13056.php;N/A;N/A;67W wired, PD3.0, 100% in 40 minutes;Li-Po 4700 mAh;N/A;Glass front (Gorilla Glass Victus 2), glass back or silicone polymer back (eco leather), aluminum frame;157.2 x 72.8 x 7.5 mm or 7.8 mm;Nano-SIM + Nano-SIM;177.6 g or 179.3 g (6.28 oz);5.4, A2DP, LE;Yes;Yes;GPS, GLONASS, GALILEO, BDS, NavIC;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass Victus 2;1236 x 2750 pixels, 20:9 ratio (~460 ppi density);6.55 inches, 103.5 cm2 (~90.4% screen-to-body ratio);AMOLED, 68B colors, 120Hz, Dolby Vision, HDR10+, 3000 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, June 12;Available. Released 2024, June 20;N/A;Dual-LED flash, HDR, panorama, Leica lenses;N/A;N/A;"50 MP, f/1.6, 25mm (wide), 1/1.55"", 1.0µm, PDAF, OIS
50 MP, f/2.0, 50mm (telephoto), 0.64µm, PDAF, 2x optical zoom
12 MP, f/2.2, 15mm, 120˚ (ultrawide), 1.12µm";4K@24/30/60fps, 1080p@30/60/120/240/960fps, 720p@1920fps, gyro-EIS;UFS 4.0;No;256GB 8GB RAM, 512GB 12GB RAM;Cruise Blue, Matcha Green, Shadow Black;24053PY09I;₹ 24,999;0.93 W/kg (head)     0.81 W/kg (body);N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 3, 5, 8, 28, 40, 41;1, 3, 5, 8, 28, 40, 41, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;Active use score 11:36h;N/A;N/A;1441 nits max brightness (measured);-26.6 LUFS (Good);"AnTuTu: 1530876 (v10)
GeekBench: 5352 (v6)
3DMark: 3311 (Wild Life Extreme)";Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520);Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm);Adreno 735;Android 14, HyperOS;"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm, AF
32 MP, f/2.4, 100˚ (ultrawide), 1/2.8"", 0.8µm";HDR;N/A;"4K@30fps, 1080p@30/60fps; gyro-EIS";24-bit/192kHz Hi-Res & Hi-Res wireless audio;No;Yes, with stereo speakers
6;Xiaomi;Xiaomi Redmi Note 8;https://www.gsmarena.com/xiaomi_redmi_note_8-9814.php;N/A;N/A;18W wired;Li-Po 4000 mAh, non-removable;N/A;Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), plastic frame;158.3 x 75.3 x 8.4 mm (6.23 x 2.96 x 0.33 in);Nano-SIM + Nano-SIM;190 (6.70 oz);4.2, A2DP, LE;Yes;No;GPS, GLONASS, BDS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 5;1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density);6.3 inches, 97.4 cm2 (~81.7% screen-to-body ratio);IPS LCD;N/A;N/A;N/A;N/A;N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;2019, August 29. Released 2019, October 16;Discontinued;N/A;LED flash, HDR, panorama;"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)";N/A;N/A;"4K@30fps, 1080p@30/60/120fps; gyro-EIS";eMMC 5.1;microSDXC (dedicated slot);32GB 3GB RAM, 64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;Neptune Blue, Moonlight White, Space Black, Nebula Purple, Cosmic Purple;M1908C3JH, M1908C3JG, M1908C3JI;About 220 EUR;0.26 W/kg (head)     1.00 W/kg (body);0.19 W/kg (head)     1.09 W/kg (body);1, 3, 5, 8, 38, 40, 41;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 20, 38, 40;N/A;HSPA 42.2/5.76 Mbps, LTE (4CA) Cat12 600/50 Mbps;GSM / HSPA / LTE;Noise -94.0dB / Crosstalk -93.3dB;N/A;Endurance rating 108h;Photo / Video;Contrast ratio: 1521:1 (nominal);Voice 78dB / Noise 72dB / Ring 81dB;"AnTuTu: 141915 (v7), 161572 (v8)
GeekBench: 5590 (v4.4), 1339 (v5.1)
GFXBench: 5.9fps (ES 3.1 onscreen)";Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver);Qualcomm SDM665 Snapdragon 665 (11 nm);Adreno 610;Android 9.0 (Pie), upgradable to Android 11, MIUI 12.5;N/A;HDR, panorama;"13 MP, f/2.0, (wide), 1/3.1"", 1.12µm";1080p@30fps;N/A;Yes;Yes
7;Xiaomi;Xiaomi Redmi 13C;https://www.gsmarena.com/xiaomi_redmi_13c-12689.php;N/A;N/A;18W wired, PD;Li-Po 5000 mAh;N/A;N/A;168 x 78 x 8.1 mm (6.61 x 3.07 x 0.32 in);Nano-SIM + Nano-SIM;192 g (6.77 oz);5.3, A2DP, LE;N/A;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS;FM radio;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Corning Gorilla Glass;720 x 1600 pixels, 20:9 ratio (~260 ppi density);6.74 inches, 109.7 cm2 (~83.7% screen-to-body ratio);IPS LCD, 90Hz, 450 nits (typ), 600 nits (HBM);N/A;N/A;N/A;N/A;Virtual proximity sensing;Fingerprint (side-mounted), accelerometer, compass;2023, November 10;Available. Released 2023, November 10;"50 MP, f/1.8, 28mm (wide), PDAF
2 MP, f/2.4, (macro)
0.08 MP (auxiliary lens)";LED flash, HDR;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 8GB RAM;Midnight Black, Navy Blue, Glacier White, Clover Green;23100RN82L, 23106RN0DA, 23108RN04Y, 2311DRN14I;$ 129.99 / € 82.43 / £ 94.00 / ₹ 9,499;N/A;0.98 W/kg (head)     0.99 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mediatek MT6769Z Helio G85 (12 nm);Mali-G52 MC2;Android 13, MIUI 14;N/A;HDR;8 MP, f/2.0;1080p@30fps;N/A;Yes;Yes
9;Xiaomi;Xiaomi Mi 11 Ultra;https://www.gsmarena.com/xiaomi_mi_11_ultra-10737.php;N/A;N/A;"67W wired, PD3.0, QC4, 100% in 36 min
67W wireless, 100% in 39 min
10W reverse wireless";Li-Po 5000 mAh;IP68 dust tight and water resistant (immersible up to 1.5m for 30 min);Glass front (Gorilla Glass Victus), ceramic back, aluminum frame;164.3 x 74.6 x 8.4 mm (6.47 x 2.94 x 0.33 in);Nano-SIM + Nano-SIM;234 g (8.25 oz);5.2, A2DP, LE, aptX HD, aptX Adaptive;Yes;Yes;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5);No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct, DLNA;N/A;Corning Gorilla Glass Victus;1440 x 3200 pixels, 20:9 ratio (~515 ppi density);6.81 inches, 112.0 cm2 (~91.4% screen-to-body ratio);AMOLED, 1B colors, 120Hz, HDR10+, Dolby Vision, 900 nits (HBM), 1700 nits (peak);N/A;N/A;N/A;N/A;Virtual proximity sensing;Fingerprint (under display, optical), accelerometer, gyro, compass;2021, March 29;Available. Released 2021, April 02;N/A;Laser AF, color spectrum sensor, Dual-LED flash, HDR, panorama, 1.1” AMOLED selfie display;N/A;N/A;"50 MP, f/2.0, 24mm (wide), 1/1.12"", 1.4µm, dual pixel PDAF, OIS
48 MP, f/4.1, 120mm (periscope telephoto), 1/2.0"", 0.8µm, PDAF, OIS, 5x optical zoom
48 MP, f/2.2, 12mm, 128˚ (ultrawide), 1/2.0"", 0.8µm, PDAF";8K@24fps, 4K@30/60fps, 1080p@30/60/120/240/960/1920fps, gyro-EIS, HDR10+ rec.;UFS 3.1;No;256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Ceramic White (Cosmic White), Ceramic Black (Cosmic Black);M2102K1G, M2102K1C;About 1500 EUR;1.08 W/kg (head)     0.81 W/kg (body);0.55 W/kg (head)     0.99 W/kg (body);1, 3, 28, 41, 77, 78, 79 SA/NSA - China;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 28, 32, 38, 40, 41, 42, 66 - International;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78, 79 SA/NSA - International;HSPA, LTE, 5G;GSM / CDMA / HSPA / EVDO / LTE / 5G;N/A;N/A;Endurance rating 95h;Photo / Video;943 nits max brightness (measured);-24.3 LUFS (Very good);"AnTuTu: 688720 (v8)
GeekBench: 3191 (v5.1)
GFXBench: 33fps (ES 3.1 onscreen)";Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55);Qualcomm SM8350 Snapdragon 888 5G (5 nm);Adreno 660;Android 11, upgradable to Android 13, MIUI 14;N/A;HDR, panorama;"20 MP, f/2.2, 27mm (wide), 1/3.4"", 0.8µm";1080p@30/60fps, 720p@120fps, gyro-EIS;"24-bit/192kHz Hi-Res audio
Tuned by Harman Kardon
Snapdragon Sound";No;Yes, with stereo speakers
10;Xiaomi;Xiaomi Redmi A5 4G;https://www.gsmarena.com/xiaomi_redmi_a5_4g-13737.php;N/A;N/A;15W wired;5200 mAh;Dust and splash resistant;N/A;171.7 x 77.8 x 8.3 mm (6.76 x 3.06 x 0.33 in);Nano-SIM + Nano-SIM;193 g (6.81 oz);5.2, A2DP, LE;N/A;No;GPS, GALILEO, GLONASS, BDS;FM radio;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Mohs level 5;720 x 1640 pixels (~260 ppi density);6.88 inches, 112.4 cm2 (~84.1% screen-to-body ratio);IPS LCD, 120Hz, 450 nits (typ);45:26h endurance, 1000 cycles;Class B;Class A (270 falls);Class C;Virtual proximity sensing;Fingerprint (side-mounted), accelerometer, compass;2025, March 21;Available. Released 2025, March 21;N/A;LED flash, HDR;N/A;"32 MP, f/2.0, (wide)
Auxiliary lens";N/A;1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;Ocean Blue, Lake Green, Sandy Gold, Midnight Black;25028PC03G, 25028RN03A, 25028RN03I, 25028RN03Y;$ 75.22 / € 63.78 / £ 57.00 / ₹ 6,240;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55);Unisoc T7250 (12 nm);Mali-G57 MP1;Android 15 (Go edition), up to 2 major Android upgrades;N/A;HDR;8 MP, f/2.0, (wide);1080p@30fps;N/A;Yes;Yes
11;Xiaomi;Xiaomi Redmi Turbo 4 Pro;https://www.gsmarena.com/xiaomi_redmi_turbo_4_pro-13617.php;N/A;N/A;"90W wired, PD3.0, QC3+
22.5W reverse wired";Si/C Li-Ion 7550 mAh;IP68 dust tight and water resistant (immersible up to 2m for 30 min);Glass front, aluminum frame, glass back;163.1 x 77.9 x 8 mm (6.42 x 3.07 x 0.31 in);Nano-SIM + Nano-SIM;219 g (7.72 oz);5.4, A2DP, LE, aptX, LHDC 5;Yes;Yes;GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct;N/A;N/A;1280 x 2772 pixels, 19.5:9 ratio (~447 ppi density);6.83 inches, 114.5 cm2 (~90.2% screen-to-body ratio);AMOLED, 68B colors, 120Hz, 3840Hz PWM, Dolby Vision, HDR10+, HDR Vivid, 800 nits (typ), 1800 nits (HBM), 3200 nits (peak;N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, April 24;Available. Released 2025, April 24;"50 MP, f/1.5, 26mm (wide), 1/1.95"", 0.8µm, PDAF, OIS
8 MP, f/2.2, 15mm (ultrawide), 1/4.0"", 1.12µm";LED flash, HDR, panorama;N/A;N/A;N/A;4K@30/60fps, 1080p@30/60/120/240/960fps, gyro-EIS;UFS 4.1;No;256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM;Black, White, Green, Harry Potter edition;25053RT47C;About 240 EUR;N/A;N/A;CDMA2000 1x;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 2100;1, 3, 4, 5, 8, 19, 28, 34, 38, 39, 40, 41, 42, 48, 66;1, 3, 5, 8, 28, 38, 40, 41, 48, 66, 77, 78 SA/NSA/Sub6;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x3.21 GHz Cortex-X4 & 3x3.0 GHz Cortex-A720 & 2x2.8 GHz Cortex-A720 & 2x2.0 GHz Cortex-A720);Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm);Adreno 825;Android 15, HyperOS 2;N/A;N/A;"20 MP, f/2.2, (wide), 1/4""";1080p@30/60fps;24-bit/192kHz Hi-Res & Hi-Res Wireless audio;No;Yes, with stereo speakers
12;Xiaomi;Xiaomi Redmi K80 Ultra;https://www.gsmarena.com/xiaomi_redmi_k80_ultra_5g-13965.php;N/A;N/A;"100W wired, PD3.0
Bypass charging";Si/C Li-Ion 7410 mAh;IP68 dust tight and water resistant (immersible up to 2m for 30 min);Glass front, aluminum frame;163.1 x 77.9 x 8.2 mm (6.42 x 3.07 x 0.32 in);Nano-SIM + Nano-SIM;219 g (7.72 oz);5.4, A2DP, LE, LHDC 5;Yes;Yes;GPS (L1+L5), BDS (B1I+B1C+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC, GLONASS;Unspecified;USB Type-C;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct;N/A;Scratch/drop-resistant glass;1280 x 2772 pixels, 19.5:9 ratio (~447 ppi density);6.83 inches, 114.5 cm2 (~90.2% screen-to-body ratio);OLED, 68B colors, 144Hz, Dolby Vision, HDR10+, HDR Vivid, 1800 nits (HBM), 3200 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass;2025, June 26;Available. Released 2025, June 26;"50 MP, f/1.9, 23mm (wide), 1/1.55"", 1.0µm, PDAF, OIS
8 MP, 119˚ (ultrawide), 1/4.0"", 1.12µm";Color spectrum sensor, Dual-LED dual-tone flash, HDR, panorama;N/A;N/A;N/A;8K@30fps, 4K@30/60fps, 1080p@30/60/120/240/960fps, gyro-EIS;UFS 4.1;No;256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM;Gray, White, Blue, Green;N/A;About 310 EUR;N/A;N/A;CDMA2000 1x;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 2100;1, 3, 4, 5, 7, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41, 42, 48, 66;1, 3, 5, 7, 8, 26, 28, 38, 40, 41, 48, 66, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x3.63 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720);Mediatek Dimensity 9400+ (3 nm);Immortalis-G925;Android 15, HyperOS 2;N/A;HDR;"20 MP, (wide), 1/2.0"", 0.8µm";1080p@30/60fps;24-bit/192kHz Hi-Res & Hi-Res Wireless audio;No;Yes, with stereo speakers
